"studentId","admissionNumber","rollNumber","firstName","lastName","gender","dateOfBirth","age","class","section","bloodGroup","religion","nationality","fatherName","motherName","guardianName","parentMobileNumber","parentEmail","completeAddress","city","province","postalCode","admissionDate","attendancePercentage","subjectWiseMarks.English","subjectWiseMarks.Urdu","subjectWiseMarks.Mathematics","subjectWiseMarks.General Knowledge","subjectWiseMarks.General Science","subjectWiseMarks.Social Studies","subjectWiseMarks.History_Geography","subjectWiseMarks.Computer Education","subjectWiseMarks.Physics","subjectWiseMarks.Chemistry","subjectWiseMarks.Biology","subjectWiseMarks.Computer Science","subjectWiseMarks.Pakistan Studies","subjectWiseMarks.Islamiat","subjectWiseMarks.Ethics","totalMarksObtained","maxPossibleMarks","percentage","grade","passFailStatus","feeStatus","transport","hostel","medicalNotes","username","password","createdAt","updatedAt"
"STD964718","ADM444302", 1,"Hussain","Zaidi","Male","2020-07-08", 6,"Class 1","A","AB+","Islam","Pakistani","Bilal Zaidi","Rimsha Zaidi","Bilal Zaidi","+923011545145","bilalzaidi90@gmail.com","House No. 343, Street 6, Gulberg","Lahore","Punjab","54000","2026-04-05","61%",63,76,63,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,343,500,68.60,"B","Pass","Paid","Self","No","No medical conditions.","hussain.zaidi","X8hUmS#903","2026-07-16T19:18:36.282Z","2026-07-16T19:18:36.283Z"
"STD330088","ADM640647", 2,"Sidra","Malik","Female","2020-07-07", 6,"Class 1","A","A+","Christianity","Pakistani","Arsalan Malik","Sidra Malik","Arsalan Malik","+923211192516","arsalanmalik48@gmail.com","House No. 34, Lane 2, DHA Phase 5","Lahore","Punjab","54000","2026-04-05","93%",48,100,44,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,333,500,66.60,"B","Pass","Paid","Self","No","Wears corrective lenses/glasses.","sidra.malik","bKChsm5ur4","2026-07-16T19:18:36.283Z","2026-07-16T19:18:36.283Z"
"STD867939","ADM315617", 3,"Wajiha","Sheikh","Female","2020-12-21", 6,"Class 1","A","B+","Islam","Pakistani","Shahzaib Sheikh","Zainab Sheikh","Shahzaib Sheikh","+923216629868","shahzaibsheikh90@gmail.com","House No. 65, Lane 6, Gulistan Colony","Faisalabad","Punjab","38000","2026-04-05","85%",67,34,96,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,310,500,62.00,"B","Pass","Paid","School Van","No","No known medical conditions or allergies.","wajiha.sheikh","L@KjEPEM9h","2026-07-16T19:18:36.283Z","2026-07-16T19:18:36.283Z"
"STD579783","ADM389729", 4,"Muhammad","Naqvi","Male","2019-07-10", 7,"Class 1","A","O+","Islam","Pakistani","Bilal Naqvi","Rimsha Naqvi","Saad Naqvi","+923122154290","bilalnaqvi69@gmail.com","House No. 400, Avenue 4, Gulshan-e-Iqbal","Karachi","Sindh","74200","2026-04-05","79%",48,50,51,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,267,500,53.40,"C","Pass","Paid","Self","No","Mild dust allergy.","muhammad.naqvi","ReiqcQitgO","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD934242","ADM453663", 5,"Zainab","Zaidi","Female","2020-07-02", 6,"Class 1","A","A+","Islam","Pakistani","Zain Zaidi","Sara Zaidi","Zain Zaidi","+923023958438","zainzaidi26@gmail.com","House No. 377, Avenue 15, Federal B Area","Karachi","Sindh","74200","2026-04-05","92%",35,88,88,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,303,500,60.60,"B","Pass","Paid","Self","No","Mild dust allergy.","zainab.zaidi","3WP2vASriw","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD867365","ADM459468", 6,"Nida","Butt","Female","2019-05-20", 7,"Class 1","A","B-","Islam","Pakistani","Shahzaib Butt","Mariam Butt","Shahzaib Butt","+923122132339","shahzaibbutt85@gmail.com","House No. 165, Street 7, Chaklala Scheme III","Rawalpindi","Punjab","46000","2026-04-05","97%",86,47,66,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,342,500,68.40,"B","Pass","Paid","School Van","No","Allergic to penicillin.","nida.butt","K0Z9DErf#J","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD406532","ADM013373", 7,"Junaid","Siddiqui","Male","2020-11-14", 6,"Class 1","A","B-","Christianity","Pakistani","Bilal Siddiqui","Kiran Siddiqui","Bilal Siddiqui","+923012081532","bilalsiddiqui80@gmail.com","House No. 193, Road 4, Samungli Road","Quetta","Balochistan","87300","2026-04-05","60%",38,94,57,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,293,500,58.60,"C","Pass","Paid","Self","No","Allergic to peanuts.","junaid.siddiqui","IV#R1Cgr#z","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD019241","ADM371598", 8,"Abdullah","Abbasi","Male","2020-10-11", 6,"Class 1","A","AB-","Islam","Pakistani","Adnan Abbasi","Amna Abbasi","Adnan Abbasi","+923455252012","adnanabbasi46@gmail.com","House No. 211, Road 7, Adyala Road","Rawalpindi","Punjab","46000","2026-04-05","92%",54,75,39,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,294,500,58.80,"C","Pass","Unpaid","School Van","No","Mild seasonal asthma; carries inhaler.","abdullah.abbasi","m1pJkTbW6x","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD547727","ADM046680", 9,"Zainab","Raza","Female","2019-09-11", 7,"Class 1","A","B-","Islam","Pakistani","Fahad Raza","Sara Raza","Fahad Raza","+923216467509","fahadraza23@gmail.com","House No. 350, Road 1, Saddar","Hyderabad","Sindh","71000","2026-04-05","66%",85,63,72,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,305,500,61.00,"B","Pass","Paid","School Van","No","No medical conditions.","zainab.raza","p!gwl0@zQq","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD756449","ADM993519",10,"Fahad","Mughal","Male","2020-03-09", 6,"Class 1","A","B-","Christianity","Pakistani","Saad Mughal","Mariam Mughal","Saad Mughal","+923122418038","saadmughal95@gmail.com","House No. 315, Street 14, Citizen Colony","Hyderabad","Sindh","71000","2026-04-05","61%",37,91,75,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,352,500,70.40,"A","Pass","Unpaid","School Van","No","Allergic to penicillin.","fahad.mughal","tM5kGpZUHX","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD762045","ADM118157",11,"Fatima","Abbasi","Female","2020-03-21", 6,"Class 1","B","AB-","Islam","Pakistani","Ali Abbasi","Zainab Abbasi","Ali Abbasi","+923459621656","aliabbasi31@gmail.com","House No. 118, Street 13, E-11","Islamabad","Islamabad Capital Territory","44000","2026-04-05","69%",91,90,51,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,362,500,72.40,"A","Pass","Paid","Self","No","Mild dust allergy.","fatima.abbasi","#5WtdcCB5k","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD798453","ADM585518",12,"Areeba","Malik","Female","2020-11-06", 6,"Class 1","B","B+","Islam","Pakistani","Muhammad Malik","Bushra Malik","Muhammad Malik","+923129308513","muhammadmalik13@gmail.com","House No. 477, Lane 15, Gulgasht Colony","Multan","Punjab","60000","2026-04-05","75%",40,53,68,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,251,500,50.20,"C","Pass","Paid","School Van","No","Allergic to penicillin.","areeba.malik","HRb$OX8N@I","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
