studentId,admissionNumber,rollNumber,firstName,lastName,gender,dateOfBirth,age,class,section,bloodGroup,religion,nationality,fatherName,parentMobileNumber,completeAddress,city,province,postalCode,attendancePercentage,totalMarksObtained,maxPossibleMarks,percentage,grade,passFailStatus,feeStatus,username,createdAt,English,Urdu,Mathematics,General Knowledge,General Science,Social Studies,History_Geography,Computer Education,Physics,Chemistry,Biology,Computer Science,Islamiat,Ethics,Pakistan Studies
STD982837,ADM904476,1,Hamza,Siddiqui,Male,2019-11-10,7,Class 1,A,AB-,Hinduism,Pakistani,Ali Siddiqui,+923009821454,"House No. 160, Street 5, Johar Town",Lahore,Punjab,54000,88%,186,500,37.2,D,Pass,Paid,hamza.siddiqui11,2026-07-16T19:29:03.937Z,35,39,34,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL
STD048279,ADM326953,26,Sana,Butt,Female,2016-02-09,10,Class 5,C,O-,Islam,Pakistani,Talha Butt,+923337625689,"House No. 445, Lane 9, Satellite Town",Rawalpindi,Punjab,46000,93%,564,600,94,A+,Pass,Unpaid,sana.butt72,2026-07-16T19:29:03.941Z,99,90,99,NULL,86,94,NULL,NULL,NULL,NULL,NULL,NULL,96,NULL,NULL
STD920420,ADM223178,21,Iqra,Chaudhry,Female,2014-04-16,12,Class 7,C,A+,Islam,Pakistani,Ahmed Chaudhry,+923454084168,"House No. 277, Street 10, Bani Gala",Islamabad,Islamabad Capital Territory,44000,75%,433,700,61.86,B,Pass,Paid,iqra.chaudhry51,2026-07-16T19:29:03.944Z,62,49,68,NULL,61,NULL,74,55,NULL,NULL,NULL,NULL,64,NULL,NULL
STD968315,ADM552839,22,Mustafa,Ahmed,Male,2015-04-23,11,Class 5,C,AB-,Islam,Pakistani,Ali Ahmed,+923452972155,"House No. 491, Street 13, Sector G-11",Islamabad,Islamabad Capital Territory,44000,97%,372,600,62,B,Pass,Unpaid,mustafa.ahmed26,2026-07-16T19:29:03.941Z,54,65,70,NULL,52,56,NULL,NULL,NULL,NULL,NULL,NULL,75,NULL,NULL
STD360450,ADM692101,29,Haris,Mughal,Male,2017-03-04,9,Class 4,C,O-,Islam,Pakistani,Mustafa Mughal,+923003512328,"House No. 367, Avenue 1, Sector G-11",Islamabad,Islamabad Capital Territory,44000,97%,526,600,87.67,A+,Pass,Paid,haris.mughal45,2026-07-16T19:29:03.941Z,90,85,84,NULL,93,94,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL,NULL
STD753319,ADM843033,13,Bilal,Siddiqui,Male,2017-01-13,9,Class 4,B,B-,Islam,Pakistani,Arsalan Siddiqui,+923455860140,"House No. 427, Avenue 2, Sector I-8",Islamabad,Islamabad Capital Territory,44000,74%,380,600,63.33,B,Pass,Paid,bilal.siddiqui79,2026-07-16T19:29:03.941Z,79,77,46,NULL,66,67,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL
STD891016,ADM280083,2,Muhammad,Sheikh,Male,2016-05-28,10,Class 4,A,A-,Islam,Pakistani,Bilal Sheikh,+923009462689,"House No. 150, Avenue 13, Bahria Town",Rawalpindi,Punjab,46000,72%,429,600,71.5,A,Pass,Unpaid,muhammad.sheikh70,2026-07-16T19:29:03.941Z,72,75,73,NULL,79,70,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL
STD979595,ADM127692,18,Ahmed,Sheikh,Male,2016-02-18,10,Class 4,B,A+,Christianity,Pakistani,Zain Sheikh,+923218232030,"House No. 68, Lane 8, Gulberg",Lahore,Punjab,54000,81%,536,600,89.33,A+,Pass,Paid,ahmed.sheikh34,2026-07-16T19:29:03.941Z,96,80,97,NULL,81,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,NULL
STD473728,ADM736052,27,Arsalan,Qureshi,Male,2017-01-22,9,Class 3,C,A+,Christianity,Pakistani,Talha Qureshi,+923458477973,"House No. 326, Street 12, Model Town",Lahore,Punjab,54000,79%,435,500,87,A+,Pass,Paid,arsalan.qureshi96,2026-07-16T19:29:03.941Z,82,92,98,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL
STD113258,ADM205287,1,Saad,Abbasi,Male,2015-03-18,11,Class 6,A,AB+,Islam,Pakistani,Fahad Abbasi,+923453801789,"House No. 263, Street 14, Gulberg",Lahore,Punjab,54000,81%,405,700,57.86,C,Pass,Paid,saad.abbasi23,2026-07-16T19:29:03.942Z,63,45,61,NULL,48,NULL,68,54,NULL,NULL,NULL,NULL,66,NULL,NULL
